DTYYYYMMDD,FIRST,HIGH,LOW,CLOSE,VALUE,VOL,OPENINT,OPEN,LAST
20190319,9077,9077,8850,9026,10550141549,1168831,399,8645,9000
20190318,8646,8646,8474,8645,13213994681,1528522,283,8235,8646
20190317,8345,8345,8300,8235,4829516370,578801,146,7948,8345
20190316,7845,8114,7695,7948,4196284120,520223,171,7728,8114
20190313,7650,7779,7619,7728,1976740011,255679,147,7726,7738
20190312,7800,7800,7600,7726,2626600635,343006,180,7778,7700
20190311,7800,7845,7600,7778,4397224074,569179,150,7909,7766
20190310,7796,7796,7727,7909,1892820288,243971,125,7975,7771
20190309,7616,7845,7616,7975,863233160,111740,65,8016,7755
20190306,7891,7999,7724,8016,2182590073,279659,137,8130,7724
20190305,7998,7998,7891,8130,192627326,24348,44,8137,7968
20190304,8132,8132,7918,8137,694330966,87010,96,8156,7950
20190303,8174,8216,7923,8156,2248221988,280190,259,8227,7956
20190302,8024,8188,8024,8227,356671292,44280,53,8237,8050
20190227,8170,8177,7915,8237,753593901,94253,65,8269,8024
20190226,8330,8330,7943,8269,582762160,72937,88,8297,7990
20190225,8316,8316,8080,8297,1327052649,161441,103,8316,8290
20190224,8280,8540,8208,8316,3228424533,386421,257,8279,8300
20190223,7760,8329,7760,8279,8613846519,1040465,249,7933,8200
20190220,7975,7975,7700,7933,1220261064,157100,109,7973,7739
20190219,7730,7799,7700,7973,755747335,97784,104,8007,7787
20190218,7879,7879,7654,8007,930918847,120323,153,8055,7779
20190217,8041,8055,7879,8055,3858589140,488222,266,8293,7883
20190216,8100,8227,8000,8293,875152952,108809,99,8332,8040
20190213,8099,8150,8080,8332,442919539,54766,45,8350,8150
20190212,8130,8199,8080,8350,536704107,66129,56,8371,8197
20190210,8275,8275,8100,8371,444975507,54629,52,8387,8100
20190206,8350,8350,8102,8387,455611716,55483,56,8400,8200
20190205,8404,8404,8130,8400,775001401,94739,64,8429,8200
20190204,8130,8800,8059,8429,1858260178,224120,122,8483,8173
20190203,8457,8457,8131,8483,1234656202,151246,73,8558,8131
20190202,8540,8540,8191,8558,1353256934,162870,129,8622,8500
20190130,8335,8440,8315,8622,841867303,100896,89,8662,8440
20190129,8485,8652,8441,8662,977119272,114866,51,8688,8523
20190128,8689,8690,8450,8688,563644933,66309,70,8705,8480
20190127,8550,8600,8400,8705,1075932789,127069,104,8750,8440
20190126,8650,8650,8500,8750,538360276,62980,69,8767,8520
20190123,8659,8785,8530,8767,1240964397,144248,122,8803,8600
20190122,8700,8742,8500,8803,2681328151,310742,156,8914,8656
20190121,8703,8849,8627,8914,2036751215,233853,125,8998,8640
20190120,8976,9000,8700,8998,2764609283,312301,170,9091,9000
20190119,9122,9130,8875,9091,2898813862,322332,196,9157,9000
20190116,9197,9239,9000,9157,1443467326,157992,124,9162,9121
20190115,9167,9300,9060,9162,2490044852,271861,138,9164,9100
20190114,9060,9179,9060,9164,5407224590,594596,153,9365,9073
20190113,9191,9225,9044,9365,2648885898,291254,186,9520,9130
20190112,9600,9690,9181,9520,3098683300,332569,168,9664,9220
20190109,9900,9950,9300,9664,5265861426,543320,311,9604,9600
20190108,9605,9605,9590,9604,14739113022,1534672,285,9148,9605
20190107,8775,9211,8773,9148,11910477387,1302028,258,8773,9211
20181230,13350,13697,13034,13436,2582174233,192279,104,13440,13489
20181229,13510,13593,13290,13440,3024815830,225607,71,13466,13415
20181226,13370,13550,13320,13466,11000371170,816877,120,13305,13497
20181225,13400,13400,13000,13305,15164649662,1139781,134,13607,13340
20181224,13399,13664,13311,13607,7291017259,535814,59,13501,13549
20181223,13300,13499,13199,13501,1881797500,141101,77,13566,13390
20181222,13400,13756,13001,13566,20137984577,1484444,152,13683,13255
20181219,13927,13927,13400,13683,1946503241,144175,84,13757,13400
20181218,13730,13912,13570,13757,6055647996,439673,84,13636,13899
20181217,13620,13761,13470,13636,3387071755,248855,68,13661,13600
20181216,13570,13999,13500,13661,3196273719,233325,65,13627,13621
20181215,13689,13689,13351,13627,1802269346,133870,74,13687,13542
20181212,13690,13690,13401,13687,2530563176,187415,83,13797,13667
20181211,13700,13700,13650,13797,140296735,10268,22,13800,13690
20181210,13751,14040,13651,13800,1355630630,98709,52,13816,13652
20181209,13900,13915,13760,13816,989108604,71758,47,13821,13763
20181208,13750,14000,13500,13821,4956672323,356172,114,13584,13915
20181205,13620,13700,13390,13584,1901803558,140649,57,13608,13550
20181204,13800,13800,13500,13608,2983391158,219232,74,13607,13650
20181203,13880,13888,13501,13607,2216791605,161264,108,13541,13650
20181202,13500,13697,13400,13541,2252273584,165458,71,13506,13500
20181201,13717,13717,13002,13506,3074695667,229979,82,13622,13200
20181128,13950,13950,13400,13622,1500867634,110731,33,13641,13500
20181127,13574,13990,13573,13641,1746616143,128123,69,13644,13695
20181126,13710,13997,13300,13644,2747455833,202874,120,13713,13301
20181124,14000,14000,13550,13713,4619506724,338137,79,13821,13748
20181121,13589,13969,13300,13821,11193100143,809873,126,13304,13969
20181120,13699,13699,13300,13304,2584572047,192301,56,13219,13588
20181119,13249,13499,13199,13219,4075387464,305768,83,13047,13470
20181118,13197,13450,12963,13047,5553030763,426881,115,13273,13000
20181117,13450,13500,13001,13273,10379998887,782025,203,13451,13197
20181114,13634,13774,13301,13451,10392166506,772601,100,13634,13450
20181113,13900,13990,13166,13634,7656179084,561561,149,13858,13460
20181112,13900,13980,13650,13858,9882855090,713152,159,13967,13860
20181111,13902,14000,13601,13967,2028697105,146131,67,14002,13640
20181110,14299,14299,13900,14002,8708861886,621975,96,14097,14040
20181106,14100,14198,14045,14097,6524254216,462653,148,14037,14045
20181105,14549,14549,13947,14037,8999864624,641152,218,14149,14000
20181104,14500,14690,13800,14149,8735876749,617413,139,14115,13823
20181103,14500,14500,13959,14115,12577214358,891043,249,14693,14100
20181031,15000,15000,14225,14693,5286493519,362403,167,14973,14300
20181029,15000,15300,14291,14973,4568481929,305996,178,15042,14770
20181028,15000,15400,14800,15042,9740519134,647565,203,15429,14850
20181027,15250,15390,14905,15429,3436929755,227354,140,15689,14905
20181024,15840,15890,15200,15689,14674939428,935356,196,15553,15390
20181023,15800,15999,15000,15553,12587556928,809349,289,15516,15310
20181022,15188,15939,14884,15516,36419989487,2347295,637,15188,15650
20181021,15700,15700,15070,15188,15298363988,1007235,355,15667,15100
20181020,15400,16100,15333,15667,33256738539,2122748,713,15576,15430
20181017,15499,16050,15110,15576,43689589093,2805003,566,15846,15400
20181016,16080,16490,15199,15846,67047332055,4231303,1117,15850,15790
20181015,15137,15893,15137,15850,93635081722,5907491,360,14417,15893
20181008,14487,14487,14487,14417,6502403028,448844,17,13798,14487
20181007,13798,13798,13798,13798,83076667958,6020921,232,13141,13798
20181006,13141,13141,13141,13141,15022607226,1143186,68,12516,13141
20181003,12516,12516,12516,12516,95921797944,7663934,214,11920,12516
20181002,11685,12269,11115,11920,51926603204,4356165,377,11129,12269
20180926,11175,11175,11175,11129,5100772875,456445,26,10643,11175
20180925,11060,11060,11060,10643,1141867580,103243,8,10534,11060
20180924,10924,10924,10924,10534,1364637004,124921,21,10404,10924
20180923,10822,10822,10822,10404,1018945410,94155,19,10307,10822
20180922,10461,10461,10461,10307,3614223195,345495,49,9963,10461
20180918,10375,10375,10375,9963,862380375,83121,25,9881,10375
20180917,9883,9883,9701,9881,52691295934,5332448,232,9413,9883
20180916,9269,9732,9053,9413,18584114079,1974314,423,9009,9562
20180915,9009,9009,9009,9009,4525977456,502384,15,8580,9009
20180912,8580,8580,8580,8580,4372642560,509632,34,8172,8580
20180911,8172,8172,8172,8172,4087634400,500200,50,7783,8172
20180910,7538,7884,7537,7783,14012544416,1800391,241,7509,7884
20180909,7450,7548,7450,7509,4334352418,577203,227,7397,7510
20180908,7445,7500,7280,7397,2932393406,396651,119,7411,7400
20180905,7450,7450,7251,7411,1197588777,162759,138,7436,7301
20180904,7450,7549,7350,7436,2033822327,273089,110,7423,7350
20180903,7590,7590,7320,7423,981767307,132615,53,7430,7399
20180902,7500,7500,7205,7430,694194403,95230,39,7463,7467
20180901,7450,7580,7150,7463,1815038219,244891,98,7512,7550
20180829,7447,7700,7400,7512,2149685653,286177,86,7437,7490
20180826,7575,7600,7186,7437,4769671713,641331,172,7564,7400
20180825,7669,7700,7550,7564,1494999138,195684,76,7515,7645
20180821,7360,7640,7360,7515,3326861420,441549,128,7366,7640
20180820,7310,7470,7310,7366,4242065479,575868,80,7301,7357
20180819,7399,7449,7190,7301,3084806242,422579,102,7304,7411
20180818,7249,7337,7170,7304,194182059,26711,20,7306,7200
20180815,7224,7324,7200,7306,951016218,130734,36,7317,7323
20180814,7350,7440,7250,7317,2234041647,303829,78,7262,7260
20180813,7200,7200,7132,7262,2361126328,330864,100,7507,7132
20180812,7498,7498,7204,7507,877569811,120716,75,7583,7299
20180811,7500,7590,7338,7583,1480491233,200792,70,7724,7338
20180808,7590,7590,7440,7724,1112686771,148929,45,7831,7440
20180807,7965,8100,7406,7831,4150006006,529933,125,7795,7600
20180806,7949,7949,7588,7795,3441580243,439947,148,7588,7760
20180805,7259,7635,7052,7588,11224989149,1479383,225,7272,7590
20180804,7300,7330,7152,7272,2794126264,388153,118,7528,7152
20180801,7726,7726,6993,7528,7197306796,956123,203,7359,7080
20180731,7300,7375,7210,7359,4283032750,582012,66,7024,7375
20180730,6804,7037,6804,7024,6086592132,866598,126,6702,7010
20180729,6840,6840,6700,6702,2820370895,419905,51,6628,6761
20180728,6630,6854,6600,6628,1940864884,289637,80,6528,6720
20180725,6310,6595,6270,6528,598189676,93609,31,6560,6500
20180724,6330,6350,6290,6560,105641217,16730,12,6568,6350
20180723,6400,6550,6327,6568,955703586,150324,38,6659,6327
20180722,6900,6900,6555,6659,428805065,63422,23,6644,6600
20180721,6410,6500,6373,6644,634448033,99343,41,6708,6500
20180718,6442,6500,6441,6708,692296077,107378,35,6779,6442
20180717,6600,6600,6472,6779,267721422,41250,13,6805,6472
20180716,6700,6700,6482,6805,225940276,34430,23,6823,6485
20180715,6702,6900,6639,6823,1615743377,243050,49,6988,6639
20180714,6667,6900,6664,6988,269771662,40290,17,7014,6900
20180711,6800,6810,6700,7014,133076400,19692,22,7024,6710
20180710,6722,6728,6718,7024,449897996,66964,18,7071,6718
20180708,6999,6999,6750,7071,135914127,20044,11,7083,6800
20180707,7150,7150,7150,7083,9867000,1380,3,7083,7150
20180704,6810,7295,6791,7083,2280298219,318869,55,6962,7150
20180703,6752,7040,6752,6962,1131284041,164647,36,7006,6777
20180702,6950,7444,6902,7006,2878507338,414019,82,7265,6902
20180701,7115,7115,6942,7265,413077369,59410,26,7307,6942
20180630,7122,7200,7122,7307,139941566,19553,16,7313,7200
20180627,7378,7400,6975,7313,480899002,67389,23,7341,6975
20180626,7499,7621,7280,7341,1528989323,205000,70,7259,7280
20180625,6882,7275,6882,7259,5104838505,703206,125,6929,7275
20180624,7200,7200,6829,6929,2906022196,422319,102,7188,6980
20180623,7555,7555,6850,7188,756950306,105871,45,7198,7000
20180620,7035,7362,7035,7198,2100314778,286262,73,7012,7362
20180619,6899,7104,6899,7012,3764879171,536896,70,6766,7104
20180618,7000,7000,6765,6766,1772106335,258596,46,6674,6765
20180617,6825,6896,6723,6674,1328506709,194251,67,6569,6855
